gstin,is_fraud,fraud_type,xgb_score,anomaly_score,graph_risk_score,in_circular_ring,rule_score,rule_flags,flag_count,ensemble_score,models_agreeing,risk_level,lstm_score
05UCZNZ2038D1ZT,1,sudden_spike,99.45,65.08,49.88,0,53,1 missing return(s) | Sales spike 17.5x (extreme) | Invoice match rate 81% | Sales volatility 1.66 (high),4,65.46,3,CRITICAL,18.51
16HHRSF1587M6ZQ,1,missing_returns,98.27,83.93,40.44,0,40,5 missing returns (high) | Filing rate 72% (low) | Invoice match rate 80%,3,73.24,3,CRITICAL,100.0
12QNAGW2597R6Z2,1,missing_returns,97.68,41.05,79.91,1,47,9 missing returns (critical) | Filing rate 50% (low),2,73.44,3,CRITICAL,100.0
27VVZYP7446E1ZH,1,shell_company,99.6,68.92,48.29,0,48,ITC ratio 62.4x (extreme) | 1 missing return(s),2,73.35,3,CRITICAL,100.0
27DJRBP9165F5Z7,1,missing_returns,97.83,40.1,79.23,1,47,8 missing returns (critical) | Filing rate 56% (low),2,73.12,3,CRITICAL,100.0
20WXOTM2530Y7Z4,1,missing_returns,98.84,76.78,41.07,0,47,6 missing returns (critical) | Filing rate 67% (low),2,73.1,3,CRITICAL,100.0
12FCANU0374V1ZX,1,shell_company,99.31,77.89,38.41,0,48,ITC ratio 103.0x (extreme) | 1 missing return(s),2,73.06,3,CRITICAL,100.0
20QEWXM7709K4ZH,1,shell_company,99.78,39.02,80.66,1,40,ITC ratio 90.6x (extreme),1,64.21,3,HIGH,15.47
17WTALS7186N2ZN,1,sudden_spike,99.23,100.0,42.07,0,37,Sales spike 19.2x (extreme) | Sales volatility 1.85 (high),2,76.94,2,HIGH,100.0
08NMQKW4821E4ZM,1,shell_company,99.53,25.75,83.51,1,56,ITC ratio 68.0x (extreme) | 1 missing return(s) | Invoice match rate 84%,3,64.84,3,HIGH,19.82
09ZKRQH3507F9ZW,1,missing_returns,99.3,77.45,36.84,0,47,8 missing returns (critical) | Filing rate 56% (low),2,72.45,3,HIGH,100.0
20KDLRD4284H5ZH,1,shell_company,99.76,45.63,71.72,1,40,ITC ratio 97.4x (extreme),1,63.75,3,HIGH,16.0
01OIDPJ0818L7ZE,1,fake_itc,99.87,28.02,79.38,1,56,ITC ratio 3.7x (extreme) | 1 missing return(s) | Invoice match rate 80%,3,64.18,3,HIGH,16.33
20AORRZ3470Q7ZO,1,fake_itc,99.82,28.98,78.13,1,56,ITC ratio 3.2x (extreme) | 1 missing return(s) | Invoice match rate 76%,3,64.05,3,HIGH,15.84
04MEFIY1166H2Z7,1,shell_company,99.44,37.02,79.48,1,40,ITC ratio 58.5x (extreme),1,63.44,3,HIGH,15.78
21BMLDK6719D3ZN,1,fake_itc,99.82,57.66,81.99,1,33,ITC ratio 2.6x (high) | Invoice match rate 79%,2,75.95,2,HIGH,100.0
11NTLYK0744C9Z0,1,shell_company,99.44,34.77,71.46000000000001,1,56,ITC ratio 87.0x (extreme) | 2 missing return(s) | Invoice match rate 84%,3,63.79,3,HIGH,16.31
14GXOAX5191J5ZY,1,missing_returns,98.51,68.07,39.260000000000005,0,55,7 missing returns (critical) | Filing rate 61% (low) | Invoice match rate 74%,3,71.97,3,HIGH,100.0
36JPEFH7185N3ZL,1,missing_returns,99.32,68.72,41.93,0,47,7 missing returns (critical) | Filing rate 61% (low),2,71.66,3,HIGH,100.0
07AQNML2739R2ZF,1,missing_returns,98.55,34.37,77.11,1,47,6 missing returns (critical) | Filing rate 67% (low),2,71.61,3,HIGH,100.0
09GVTLF6552S2Z2,1,missing_returns,99.55,60.56,49.13,0,47,8 missing returns (critical) | Filing rate 56% (low),2,71.52,3,HIGH,100.0
29SMDJD7194T3Z5,1,shell_company,99.74,36.03,76.92,1,40,ITC ratio 112.2x (extreme),1,62.75,3,HIGH,15.82
32RKTYR9930C6ZM,1,sudden_spike,98.69,98.06,37.63,0,37,Sales spike 15.6x (extreme) | Sales volatility 1.67 (high),2,75.38,2,HIGH,100.0
33VCJUF1440V5ZH,1,fake_itc,99.92,30.76,76.55,1,48,ITC ratio 3.1x (extreme) | 1 missing return(s),2,62.99,3,HIGH,17.29
29JJYGI1053T4ZL,1,sudden_spike,99.16,43.35,61.76,1,53,2 missing return(s) | Sales spike 11.7x (extreme) | Invoice match rate 84% | Sales volatility 1.83 (high),4,63.29,3,HIGH,19.36
06PZARY7899S9ZT,1,missing_returns,99.51,60.33,47.75,0,47,7 missing returns (critical) | Filing rate 61% (low),2,71.15,3,HIGH,100.0
12XUUHW6959P3Z3,1,fake_itc,99.93,63.57,43.22,0,48,ITC ratio 3.6x (extreme) | 2 missing return(s),2,71.15,3,HIGH,100.0
36EKPTK3096W1Z2,1,shell_company,99.86,30.56,75.66,1,48,ITC ratio 121.5x (extreme) | 1 missing return(s),2,62.56,3,HIGH,15.55
04HQQST7107Z6ZM,1,shell_company,99.7,38.2,63.46,1,56,ITC ratio 106.9x (extreme) | 1 missing return(s) | Invoice match rate 84%,3,63.01,3,HIGH,17.75
16CBBAS6431K7ZR,1,fake_itc,99.9,21.83,77.03,1,60,ITC ratio 3.7x (extreme) | 4 missing returns (high),2,63.57,3,HIGH,22.54
12VQPMA6127O5ZN,1,shell_company,99.37,34.04,77.22999999999999,1,40,ITC ratio 70.2x (extreme),1,62.26,3,HIGH,15.65
13MBSLG1308A4ZQ,1,shell_company,99.72,32.85,73.03999999999999,1,48,ITC ratio 109.2x (extreme) | 1 missing return(s),2,62.5,3,HIGH,16.1
05DILAB1376L1ZR,1,shell_company,99.39,63.44,37.92,0,56,ITC ratio 55.0x (extreme) | 2 missing return(s) | Invoice match rate 82%,3,71.08,3,HIGH,100.0
18DOMIS5060P6ZN,1,shell_company,99.38,23.86,81.38,1,48,ITC ratio 64.9x (extreme) | 1 missing return(s),2,62.33,3,HIGH,16.83
16AXDIK5467L3ZB,1,missing_returns,99.55,61.08,44.38,0,47,9 missing returns (critical) | Filing rate 50% (low),2,70.59,3,HIGH,100.0
32ZAVWR7364E2Z9,1,shell_company,98.55,75.13,35.260000000000005,0,40,ITC ratio 58.6x (extreme),1,70.25,3,HIGH,100.0
24SHDYP0844I9ZI,1,fake_itc,99.04,19.14,80.41,1,56,ITC ratio 3.2x (extreme) | 2 missing return(s) | Invoice match rate 81%,3,62.06,3,HIGH,14.92
20LWLFE0627Q4ZY,1,shell_company,99.83,29.11,73.86,1,48,ITC ratio 79.8x (extreme) | 1 missing return(s),2,61.91,3,HIGH,16.25
09TBKXJ7467B7ZU,1,missing_returns,97.12,39.0,68.3,1,47,8 missing returns (critical) | Filing rate 56% (low),2,70.26,3,HIGH,100.0
16NXDUS2669G2ZI,1,sudden_spike,98.69,53.27,77.41,1,37,Sales spike 17.9x (extreme) | Sales volatility 1.94 (high),2,65.86,2,HIGH,15.79
20NPVPV0306Y6ZW,1,shell_company,99.39,64.76,43.08,0,40,ITC ratio 113.1x (extreme),1,62.0,3,HIGH,20.56
06UARMV8776O1ZW,1,shell_company,99.41,23.36,84.21,1,40,ITC ratio 58.4x (extreme),1,61.46,3,HIGH,15.7
09FFQDR5591P8ZK,1,shell_company,99.81,22.05,79.99,1,48,ITC ratio 56.0x (extreme) | 1 missing return(s),2,61.86,3,HIGH,17.88
01TXPGH0197H5ZO,1,shell_company,99.4,68.61,38.64,0,40,ITC ratio 53.3x (extreme),1,69.82,3,HIGH,100.0
10MRKSH6010U9Z3,1,fake_itc,99.95,20.25,77.96000000000001,1,53,ITC ratio 2.3x (high) | 1 missing return(s) | New company (1yr) with high turnover,3,61.61,3,HIGH,15.38
01XUZLH8422R9ZH,1,shell_company,99.73,30.71,63.04,1,60,ITC ratio 71.4x (extreme) | 3 missing returns (high),2,61.82,3,HIGH,16.8
33JBTLF9965J4ZY,1,shell_company,99.84,26.38,74.25,1,48,ITC ratio 95.1x (extreme) | Invoice match rate 83%,2,61.36,3,HIGH,15.9
22CNADE4689T8ZT,1,sudden_spike,98.96,52.93,75.27000000000001,1,37,Sales spike 11.5x (extreme) | Sales volatility 1.53 (high),2,65.6,2,HIGH,17.86
07ZCREJ1487Q3Z2,1,sudden_spike,97.19,61.46,36.75,0,57,4 missing returns (high) | Sales spike 14.1x (extreme) | Sales volatility 1.61 (high),3,61.32,3,HIGH,14.39
24TXUOI8318T5ZX,1,shell_company,99.42,79.19,25.88,0,40,ITC ratio 89.6x (extreme),1,69.34,3,HIGH,100.0
36SZTVM1651Z7ZU,1,fake_itc,99.91,30.3,73.37,1,41,ITC ratio 2.1x (high) | 2 missing return(s) | Invoice match rate 83%,3,60.89,3,HIGH,15.5
16RHZWT9547S7ZB,1,fake_itc,99.85,19.9,79.36,1,48,ITC ratio 3.4x (extreme) | 2 missing return(s),2,61.0,3,HIGH,15.26
36IBCNE7105T5Z8,1,fake_itc,99.86,78.43,20.74,0,48,ITC ratio 3.6x (extreme) | 1 missing return(s),2,69.46,3,HIGH,100.0
13YHAQQ3950R6ZW,1,fake_itc,99.8,16.89,81.51,1,48,ITC ratio 3.4x (extreme) | 2 missing return(s),2,60.81,3,HIGH,15.42
08POCFX6565P9Z5,1,sudden_spike,99.33,47.27,78.27000000000001,1,37,Sales spike 23.9x (extreme) | Sales volatility 1.80 (high),2,64.97,2,HIGH,16.35
36FCOMK2625P8Z2,1,fake_itc,99.8,70.22,27.55,0,48,ITC ratio 3.0x (extreme) | 1 missing return(s),2,69.13,3,HIGH,100.0
12DSCIN4403P5Z5,1,sudden_spike,96.97,47.85,82.83,1,33,2 missing return(s) | Sales spike 5.9x (high) | Sales volatility 1.29 (high),3,65.7,2,HIGH,25.82
32PPYCU0029D4ZG,1,fake_itc,99.92,20.44,77.09,1,48,ITC ratio 3.4x (extreme) | Invoice match rate 84%,2,60.69,3,HIGH,15.82
17SVHZQ3991N1Z2,1,fake_itc,99.93,14.78,87.5,1,40,ITC ratio 3.3x (extreme),1,60.45,3,HIGH,15.74
11QDPFP4182M2ZY,1,shell_company,99.91,16.13,81.31,1,48,ITC ratio 73.7x (extreme) | 1 missing return(s),2,60.63,3,HIGH,15.38
02WYNIY2827U5ZL,1,shell_company,99.8,22.17,75.39,1,48,ITC ratio 89.0x (extreme) | 1 missing return(s),2,60.55,3,HIGH,14.69
15YWCRO9331D8ZF,1,sudden_spike,97.84,68.21,33.4,0,45,1 missing return(s) | Sales spike 13.8x (extreme) | Sales volatility 1.81 (high),3,64.23,3,HIGH,53.25
02QHQVJ7381O5Z1,1,missing_returns,98.67,64.43,38.97,0,40,5 missing returns (high) | Filing rate 72% (low) | Invoice match rate 81%,3,68.75,3,HIGH,100.0
20CJXYB3299J3ZN,1,fake_itc,99.82,46.65,78.94,1,33,ITC ratio 2.8x (high) | 1 missing return(s),2,65.09,2,HIGH,22.39
17FEDBP2846A3ZY,1,shell_company,99.79,22.74,78.43,1,40,ITC ratio 47.2x (extreme),1,60.19,3,HIGH,15.99
17LLYND5534E1ZK,1,fake_itc,99.86,17.39,78.9,1,48,ITC ratio 3.3x (extreme) | 2 missing return(s),2,60.51,3,HIGH,16.93
32VNALD6811L2ZJ,1,fake_itc,99.91,19.86,75.64,1,48,ITC ratio 3.4x (extreme) | Invoice match rate 80%,2,60.33,3,HIGH,16.63
06PDLSJ0369B5ZS,1,missing_returns,99.49,69.55,27.06,0,47,6 missing returns (critical) | Filing rate 67% (low),2,68.62,3,HIGH,99.96
08KWJVA2687A3Z2,1,shell_company,98.51,64.64,37.25,0,40,ITC ratio 88.1x (extreme),1,68.37,3,HIGH,100.0
03OXVLD9363Y1ZH,1,shell_company,99.23,61.0,38.05,0,40,ITC ratio 65.4x (extreme),1,67.96,3,HIGH,100.0
27HKNUG7899B6ZS,1,fake_itc,99.59,21.47,76.12,1,41,ITC ratio 2.7x (high) | 2 missing return(s) | Invoice match rate 75%,3,59.52,3,HIGH,16.1
10LZQPP5548K6ZB,1,fake_itc,99.95,13.9,78.03999999999999,1,48,ITC ratio 3.4x (extreme) | Invoice match rate 82%,2,59.49,3,HIGH,15.96
08BNDHG7085E5ZP,1,fake_itc,99.77,12.19,79.91,1,48,ITC ratio 3.5x (extreme) | Invoice match rate 84%,2,59.4,3,HIGH,15.29
04UMKZH2031D5ZU,1,shell_company,97.22,65.74,23.75,0,56,ITC ratio 57.0x (extreme) | 2 missing return(s) | Invoice match rate 83%,3,67.81,3,HIGH,100.0
37SHEVF3393R6ZQ,1,shell_company,99.8,28.79,65.95,1,40,ITC ratio 111.3x (extreme),1,58.73,3,HIGH,15.5
14EDIPO4445X3ZT,1,sudden_spike,99.06,43.47,73.82,1,37,Sales spike 11.0x (extreme) | Sales volatility 1.59 (high),2,62.97,2,HIGH,15.26
23GFRDS9596Q6Z2,1,sudden_spike,97.38,36.76,84.96,1,33,2 missing return(s) | Sales spike 8.5x (high) | Sales volatility 1.74 (high),3,62.93,2,HIGH,16.56
33ZQIRP0199F2ZF,1,sudden_spike,96.7,42.18,85.14,1,25,Sales spike 9.3x (high) | Sales volatility 1.36 (high),2,62.72,2,HIGH,16.95
07MBLOX8096Q7ZX,1,fake_itc,99.85,5.74,83.13,1,48,ITC ratio 3.1x (extreme) | 1 missing return(s),2,58.7,3,HIGH,15.12
09BWJMU2993X5ZK,1,sudden_spike,99.2,51.42,42.760000000000005,0,73,2 missing return(s) | Sales spike 13.0x (extreme) | Invoice match rate 85% | New company (1yr) with high turnover | Sales volatility 1.64 (high),5,63.79,2,HIGH,16.28
14ARHRH1711T1ZE,1,fake_itc,99.94,17.79,74.28,1,41,ITC ratio 2.6x (high) | 1 missing return(s) | Invoice match rate 83%,3,58.43,3,HIGH,16.32
23WQWWL0869C1ZN,1,sudden_spike,99.43,62.93,26.73,0,45,Sales spike 13.2x (extreme) | Invoice match rate 84% | Sales volatility 1.64 (high),3,61.23,3,HIGH,44.74
33UUMOQ7597R3Z6,1,fake_itc,99.85,60.48,28.18,0,45,ITC ratio 1.8x (high) | 3 missing returns (high),2,66.66,3,HIGH,100.0
37BDFJX8960I3ZR,1,fake_itc,99.87,16.21,74.59,1,41,ITC ratio 2.4x (high) | 1 missing return(s) | Invoice match rate 84%,3,58.11,3,HIGH,16.12
04SCVAK2570U3ZY,1,fake_itc,99.49,42.52,78.34,1,25,ITC ratio 1.5x (high),1,62.34,2,HIGH,18.99
08RZTZL1694W5ZG,1,fake_itc,99.83,74.86,40.66,0,33,ITC ratio 2.4x (high) | 1 missing return(s),2,70.64,2,HIGH,100.0
32VLLKI6371F2Z0,1,fake_itc,99.89,4.89,76.37,1,56,ITC ratio 3.7x (extreme) | 1 missing return(s) | Invoice match rate 84%,3,58.53,3,HIGH,17.21
01RCQYS8337R5Z5,1,shell_company,99.27,30.18,61.49,1,40,ITC ratio 104.1x (extreme),1,57.88,3,HIGH,15.31
01QOZZV4394H2ZV,1,fake_itc,99.95,8.6,76.97999999999999,1,48,ITC ratio 3.2x (extreme) | 1 missing return(s),2,58.15,3,HIGH,16.54
03BUOOF2364A7ZH,1,sudden_spike,98.37,42.96,73.81,1,33,1 missing return(s) | Sales spike 9.4x (high) | Sales volatility 1.95 (high),3,62.54,2,HIGH,20.58
18ISQLC0146P3ZB,1,fake_itc,99.66,11.39,73.58,1,48,ITC ratio 3.7x (extreme) | 1 missing return(s),2,57.81,3,HIGH,15.43
16UVAEZ6084E2ZJ,1,fake_itc,99.82,59.91,39.5,0,56,ITC ratio 3.4x (extreme) | 1 missing return(s) | Invoice match rate 80%,3,70.78,2,HIGH,100.0
03LULGP5386W7ZG,1,sudden_spike,97.41,53.13,44.25,0,65,3 missing returns (high) | Sales spike 13.8x (extreme) | Invoice match rate 76% | Sales volatility 1.75 (high),4,62.78,2,HIGH,17.34
17WNUQD8890M6Z4,1,fake_itc,99.94,17.36,66.28,1,48,ITC ratio 3.7x (extreme) | 1 missing return(s),2,58.04,3,HIGH,19.82
05UDMCJ4390K8ZD,1,sudden_spike,98.19,53.25,42.6,0,65,4 missing returns (high) | Sales spike 14.0x (extreme) | Invoice match rate 84% | Sales volatility 1.62 (high),4,62.57,2,HIGH,16.26
23QSOQN1837M1ZP,1,fake_itc,99.79,6.69,77.13,1,48,ITC ratio 3.5x (extreme) | 1 missing return(s),2,57.61,3,HIGH,15.51
05FRMXZ3686O8ZG,1,sudden_spike,99.37,63.89,46.52,0,37,Sales spike 13.7x (extreme) | Sales volatility 1.55 (high),2,61.95,2,HIGH,19.25
36GYZMN3661Z5Z2,1,sudden_spike,97.19,56.15,44.95,0,57,3 missing returns (high) | Sales spike 15.5x (extreme) | Sales volatility 1.57 (high),3,62.11,2,HIGH,15.87
16MNRLN0061B9ZO,1,missing_returns,99.78,56.27,46.47,0,47,7 missing returns (critical) | Filing rate 61% (low),2,70.06,2,HIGH,100.0
10QDGWQ4415X8ZQ,1,shell_company,99.64,54.2,40.760000000000005,0,60,ITC ratio 104.5x (extreme) | 3 missing returns (high),2,62.13,2,HIGH,17.45
16INCJT3617N4ZI,1,fake_itc,99.81,70.57,40.15,0,33,ITC ratio 2.4x (high) | 2 missing return(s),2,69.58,2,HIGH,100.0
29IWHOS2655W3ZK,1,fake_itc,99.48,15.6,66.26,1,48,ITC ratio 3.2x (extreme) | 1 missing return(s),2,57.02,3,HIGH,14.9
17FHBYW9644L7Z7,1,sudden_spike,99.03,44.16,59.71,1,45,1 missing return(s) | Sales spike 11.4x (extreme) | Sales volatility 1.68 (high),3,61.25,2,HIGH,14.87
22GZVMP5686B2ZG,1,shell_company,99.81,59.11,36.65,0,56,ITC ratio 69.6x (extreme) | 1 missing return(s) | Invoice match rate 82%,3,62.52,2,HIGH,25.45
12QNULG2778B7ZA,1,shell_company,99.84,46.78,36.64,0,76,ITC ratio 118.2x (extreme) | 2 missing return(s) | Invoice match rate 80% | New company (1yr) with high turnover,4,62.35,2,HIGH,18.85
12UPJEG1552S3ZG,1,fake_itc,99.9,2.43,82.01,1,40,ITC ratio 3.1x (extreme),1,56.53,3,HIGH,15.82
06PWNTF2692L3ZZ,1,missing_returns,98.74,54.92,46.82,0,47,6 missing returns (critical) | Filing rate 67% (low),2,69.52,2,HIGH,100.0
02OQROH4016Q4ZB,1,missing_returns,98.03,51.02,39.09,0,68,10 missing returns (critical) | Filing rate 44% (very low) | Invoice match rate 83%,3,70.11,2,HIGH,100.0
09HVFSB5725Z4ZM,1,fake_itc,99.96,58.78,40.64,0,48,ITC ratio 3.6x (extreme) | 2 missing return(s),2,69.54,2,HIGH,100.0
13QYOQN8293T9Z2,1,missing_returns,98.87,31.5,78.53,1,32,5 missing returns (high) | Filing rate 72% (low),2,68.98,2,HIGH,99.94
13LKJKJ9897H5Z6,1,missing_returns,98.57,68.48,41.78,0,32,5 missing returns (high) | Filing rate 72% (low),2,68.95,2,HIGH,100.0
23YARIF3727Q5ZW,1,sudden_spike,98.99,52.24,37.510000000000005,0,65,3 missing returns (high) | Sales spike 10.0x (extreme) | Invoice match rate 80% | Sales volatility 1.67 (high),4,67.35,2,HIGH,75.04
21ECTOW8636W6ZG,1,fake_itc,99.84,7.58,75.38,1,41,ITC ratio 2.3x (high) | 1 missing return(s) | Invoice match rate 85%,3,56.58,3,HIGH,18.14
24AGWTJ5512N4ZN,1,missing_returns,99.27,46.84,53.1,0,47,7 missing returns (critical) | Filing rate 61% (low),2,69.29,2,HIGH,100.0
07XNUTD5478Q1ZU,1,fake_itc,99.82,10.84,67.56,1,48,ITC ratio 3.2x (extreme) | 1 missing return(s),2,56.78,3,HIGH,19.08
37ERYMW5273I1ZH,1,fake_itc,99.83,71.92,39.85,0,25,ITC ratio 1.8x (high),1,68.54,2,HIGH,100.0
03SPDRV7870O3Z5,1,fake_itc,99.85,48.61,43.86,0,56,ITC ratio 3.6x (extreme) | 1 missing return(s) | Invoice match rate 78%,3,60.95,2,HIGH,16.88
32WETXE2606C8ZW,1,fake_itc,99.92,35.08,70.88,1,33,ITC ratio 2.5x (high) | 1 missing return(s),2,60.31,2,HIGH,17.41
12GVVPC8542F6ZU,1,sudden_spike,99.19,51.3,43.05,0,53,1 missing return(s) | Sales spike 13.3x (extreme) | Invoice match rate 78% | Sales volatility 1.71 (high),4,61.03,2,HIGH,20.32
32PQQVF8427M6ZK,1,fake_itc,99.29,16.48,60.66,1,48,ITC ratio 3.2x (extreme) | Invoice match rate 79%,2,56.06,3,HIGH,16.2
06EPGEV5060K6ZS,1,sudden_spike,99.6,47.94,45.0,0,53,1 missing return(s) | Sales spike 11.6x (extreme) | Invoice match rate 85% | Sales volatility 1.75 (high),4,60.47,2,HIGH,16.62
14CZCOF9831P9ZG,1,sudden_spike,99.37,42.82,60.04,1,37,Sales spike 11.1x (extreme) | Sales volatility 1.56 (high),2,59.92,2,HIGH,15.63
29YUIHJ1594T3ZV,1,fake_itc,99.8,9.45,66.2,1,48,ITC ratio 3.4x (extreme) | Invoice match rate 82%,2,55.81,3,HIGH,15.42
