gstin,is_fraud,fraud_type,fraud_probability,predicted_fraud,risk_level,anomaly_score,anomaly_flag,graph_risk_score,in_circular_ring
37VHLAP3348F7ZC,1,fake_itc,99.93,1,CRITICAL,21.35,0,27.59,0
03SRNLG8749Q8ZM,1,fake_itc,99.93,1,CRITICAL,8.58,0,37.11,0
03JIOPS7142K3ZI,1,fake_itc,99.92,1,CRITICAL,9.0,0,39.55,0
27FQBKQ5139B1Z5,1,fake_itc,99.92,1,CRITICAL,15.95,0,81.57,1
20MLRQY2002C9ZG,1,fake_itc,99.92,1,CRITICAL,16.69,0,43.18,0
03ONQDM6647O9ZN,1,fake_itc,99.92,1,CRITICAL,66.15,1,81.01,1
12RKFAS9575S6ZW,1,fake_itc,99.92,1,CRITICAL,12.35,0,25.6,0
07BVVWS3834R6ZD,1,fake_itc,99.92,1,CRITICAL,5.29,0,42.55,0
22ZSLSR7891A5ZN,1,fake_itc,99.92,1,CRITICAL,51.49,1,40.239999999999995,0
32JLEDZ9627V8Z0,1,fake_itc,99.92,1,CRITICAL,12.38,0,44.2,0
32WETXE2606C8ZW,1,fake_itc,99.92,1,CRITICAL,35.08,1,70.88,1
33VCJUF1440V5ZH,1,fake_itc,99.92,1,CRITICAL,30.76,1,76.55,1
32PPYCU0029D4ZG,1,fake_itc,99.92,1,CRITICAL,20.44,0,77.09,1
29EKHBC6359Y3ZB,1,fake_itc,99.92,1,CRITICAL,8.3,0,45.93,0
22ABBDB2541I7ZE,1,shell_company,99.92,1,CRITICAL,20.64,0,30.29,0
20PHYMX1021D5ZY,1,fake_itc,99.92,1,CRITICAL,10.47,0,40.33,0
06XSFIJ1845E4ZJ,1,fake_itc,99.91,1,CRITICAL,4.39,0,40.44,0
17EDQGU9740L6ZU,1,missing_returns,99.91,1,CRITICAL,42.62,1,45.32,0
11IHYQM5761L8ZP,1,fake_itc,99.91,1,CRITICAL,14.18,0,41.379999999999995,0
10FFBXP7668Y8ZV,1,fake_itc,99.91,1,CRITICAL,20.73,0,37.57,0
32VNALD6811L2ZJ,1,fake_itc,99.91,1,CRITICAL,19.86,0,75.64,1
11OQEXD5772Y3Z4,1,fake_itc,99.91,1,CRITICAL,5.59,0,22.13,0
36SZTVM1651Z7ZU,1,fake_itc,99.91,1,CRITICAL,30.3,1,73.37,1
05PWBAY3000Z2ZD,1,fake_itc,99.91,1,CRITICAL,19.0,0,28.6,0
12YJITE0441H6ZY,1,fake_itc,99.91,1,CRITICAL,9.16,0,40.83,0
24SZTVY7543L4ZC,1,fake_itc,99.91,1,CRITICAL,21.05,0,42.41,0
24TVOPO3136Y7ZD,1,shell_company,99.91,1,CRITICAL,45.73,1,48.2,0
12EDMNC5227Z4ZQ,1,fake_itc,99.91,1,CRITICAL,7.94,0,38.71,0
11QDPFP4182M2ZY,1,shell_company,99.91,1,CRITICAL,16.13,0,81.31,1
06TVORF9071C4Z5,1,fake_itc,99.91,1,CRITICAL,22.73,0,26.85,0
37YIOPB5207M5ZP,1,fake_itc,99.91,1,CRITICAL,14.99,0,41.86,0
16EOTVI5571U9Z2,1,fake_itc,99.91,1,CRITICAL,16.85,0,24.92,0
17WLFOS2396O9Z2,1,shell_company,99.9,1,CRITICAL,40.82,1,22.64,0
03AAFWT3827P4Z9,1,fake_itc,99.9,1,CRITICAL,73.61,1,27.18,0
24PIKRF0363Z3ZO,1,fake_itc,99.9,1,CRITICAL,3.57,0,37.85,0
16CBBAS6431K7ZR,1,fake_itc,99.9,1,CRITICAL,21.83,0,77.03,1
36WBSUN8970M4ZO,1,fake_itc,99.9,1,CRITICAL,27.52,0,38.980000000000004,0
08MDFOU3936K6ZK,1,fake_itc,99.9,1,CRITICAL,19.55,0,38.8,0
33YIBEP6569L5Z5,1,fake_itc,99.9,1,CRITICAL,5.3,0,38.68,0
12UPJEG1552S3ZG,1,fake_itc,99.9,1,CRITICAL,2.43,0,82.01,1
07KAAGL6071A2ZV,1,fake_itc,99.9,1,CRITICAL,19.79,0,49.63,0
01NWSKJ6411C8Z0,1,fake_itc,99.9,1,CRITICAL,26.45,0,28.36,0
15LKVQE4995G4ZO,1,fake_itc,99.9,1,CRITICAL,8.07,0,42.989999999999995,0
13DRFTE2286J4Z8,1,fake_itc,99.9,1,CRITICAL,11.79,0,37.16,0
03GNFIZ8145M1ZM,1,fake_itc,99.89,1,CRITICAL,27.15,0,35.02,0
03VLIDW8083H4ZE,1,fake_itc,99.89,1,CRITICAL,20.89,0,41.54,0
13OZSRA6614M6ZI,1,fake_itc,99.89,1,CRITICAL,12.73,0,39.510000000000005,0
09ZNNRI9420F6ZW,1,fake_itc,99.89,1,CRITICAL,14.05,0,47.47,0
37ZFKOR7927U3ZG,1,fake_itc,99.89,1,CRITICAL,23.81,0,24.26,0
22YSNCK5021B2ZO,1,fake_itc,99.89,1,CRITICAL,19.2,0,46.239999999999995,0
23NJJEZ2991M1Z1,1,shell_company,99.89,1,CRITICAL,32.65,1,41.95,0
04ZIXXS3114R2Z6,1,fake_itc,99.89,1,CRITICAL,16.62,0,44.1,0
17UEHZH9091M8Z8,1,fake_itc,99.89,1,CRITICAL,19.05,0,42.67,0
07NDIEA3123W7ZL,1,fake_itc,99.89,1,CRITICAL,23.94,0,37.379999999999995,0
13LDJBG1800I7Z0,1,fake_itc,99.89,1,CRITICAL,21.6,0,33.82,0
05RTSAR3584H8Z5,1,shell_company,99.89,1,CRITICAL,24.66,0,26.01,0
03WOISS2675N9ZN,1,fake_itc,99.89,1,CRITICAL,10.8,0,36.8,0
32VLLKI6371F2Z0,1,fake_itc,99.89,1,CRITICAL,4.89,0,76.37,1
05VWTMQ6761S9ZT,1,shell_company,99.88,1,CRITICAL,27.79,0,28.7,0
14DVCRR6737N2Z8,1,fake_itc,99.88,1,CRITICAL,2.57,0,36.67,0
10LPEBJ5993O4ZU,1,fake_itc,99.88,1,CRITICAL,4.91,0,25.5,0
11ZDBFJ4408O7ZB,1,fake_itc,99.88,1,CRITICAL,60.93,1,23.33,0
07FDMFD5621W8ZU,1,fake_itc,99.88,1,CRITICAL,29.44,1,36.82,0
05VTBBC8146Q2Z2,1,fake_itc,99.88,1,CRITICAL,15.51,0,42.760000000000005,0
22JMCSR1539S9Z3,1,fake_itc,99.88,1,CRITICAL,15.66,0,28.34,0
32LSENP0346Z4ZW,1,fake_itc,99.88,1,CRITICAL,5.45,0,80.49,1
08RJHKW0121D3ZY,1,fake_itc,99.88,1,CRITICAL,21.83,0,45.64,0
27VEQJK5051C2ZO,1,fake_itc,99.88,1,CRITICAL,25.12,0,41.17,0
19WISDX2541E5ZX,1,shell_company,99.88,1,CRITICAL,30.85,1,48.71,0
03ENBCL6895I3ZL,1,fake_itc,99.88,1,CRITICAL,8.14,0,41.489999999999995,0
14MGTXW6601Q9ZR,1,fake_itc,99.88,1,CRITICAL,12.55,0,78.75999999999999,1
36EMYMK3111Y4ZN,1,fake_itc,99.88,1,CRITICAL,11.22,0,86.5,1
07KUXWT0123V8Z7,1,fake_itc,99.87,1,CRITICAL,52.93,1,38.9,0
24HWWSR8074J2ZF,1,fake_itc,99.87,1,CRITICAL,4.47,0,38.879999999999995,0
33BADFH3302U8Z6,1,fake_itc,99.87,1,CRITICAL,14.62,0,67.15,1
18LBYUD4904Y4ZV,1,shell_company,99.87,1,CRITICAL,25.3,0,38.2,0
22WDTYB7222V4Z7,1,fake_itc,99.87,1,CRITICAL,5.61,0,82.47,1
27YOKHA9819G7Z1,1,fake_itc,99.87,1,CRITICAL,13.36,0,41.91,0
03XWWZM6908F3ZD,1,fake_itc,99.87,1,CRITICAL,13.56,0,41.1,0
37DTOMP7479S7ZN,1,fake_itc,99.87,1,CRITICAL,14.2,0,44.760000000000005,0
01BRRVH5137R2ZD,1,fake_itc,99.87,1,CRITICAL,23.88,0,37.33,0
12XLHGN0988H2ZU,1,fake_itc,99.87,1,CRITICAL,9.2,0,42.120000000000005,0
37BDFJX8960I3ZR,1,fake_itc,99.87,1,CRITICAL,16.21,0,74.59,1
02PFPQF2432N1ZE,1,fake_itc,99.87,1,CRITICAL,41.19,1,46.67,0
01OIDPJ0818L7ZE,1,fake_itc,99.87,1,CRITICAL,28.02,1,79.38,1
17MHDXB2686T3ZS,1,fake_itc,99.87,1,CRITICAL,5.06,0,23.74,0
02FTCDB2765L4ZQ,1,sudden_spike,99.87,1,CRITICAL,46.79,1,37.33,0
22SVNSJ7706S9Z1,1,fake_itc,99.87,1,CRITICAL,56.84,1,37.370000000000005,0
11SUNWU8723T7Z6,1,fake_itc,99.87,1,CRITICAL,8.06,0,38.35,0
07ZUDJX9912A9ZV,1,shell_company,99.86,1,CRITICAL,22.61,0,46.35,0
11PHJKZ2654S4Z6,1,fake_itc,99.86,1,CRITICAL,18.36,0,35.69,0
12EAFUY5241L9ZL,1,fake_itc,99.86,1,CRITICAL,55.42,1,79.47,1
12AFHOQ2909D5ZA,1,fake_itc,99.86,1,CRITICAL,17.04,0,45.35,0
22QRBMQ1680Q7ZV,1,fake_itc,99.86,1,CRITICAL,63.5,1,39.79,0
36IBCNE7105T5Z8,1,fake_itc,99.86,1,CRITICAL,78.43,1,20.74,0
18ILVGP7717B8Z4,1,shell_company,99.86,1,CRITICAL,32.64,1,39.19,0
29RYSKG9205L6Z2,1,missing_returns,99.86,1,CRITICAL,42.93,1,37.83,0
11BJOPF1429Z6Z2,1,fake_itc,99.86,1,CRITICAL,21.9,0,75.22999999999999,1
36EKPTK3096W1Z2,1,shell_company,99.86,1,CRITICAL,30.56,1,75.66,1
17LLYND5534E1ZK,1,fake_itc,99.86,1,CRITICAL,17.39,0,78.9,1
13OGKCB2989R5Z2,1,shell_company,99.86,1,CRITICAL,31.62,1,43.79,0
37IXTFO6427N1ZL,1,fake_itc,99.86,1,CRITICAL,6.96,0,46.81,0
21HAMLH1741M7ZI,1,fake_itc,99.86,1,CRITICAL,4.9,0,38.11,0
07ZLDPN2057A2ZK,1,fake_itc,99.86,1,CRITICAL,14.29,0,41.06,0
18NERYG9893N3ZN,1,fake_itc,99.86,1,CRITICAL,10.17,0,43.9,0
07PQIXV3379O9ZV,1,fake_itc,99.86,1,CRITICAL,30.91,1,43.53,0
08XAIAL9538J4ZK,1,fake_itc,99.86,1,CRITICAL,21.23,0,37.629999999999995,0
32DOVVX0770X3ZV,1,shell_company,99.86,1,CRITICAL,37.13,1,43.09,0
07GACWZ0264K6ZN,1,fake_itc,99.86,1,CRITICAL,9.96,0,37.56,0
22EELMC4449C6Z0,1,shell_company,99.85,1,CRITICAL,32.65,1,37.85,0
10CTTZI7286B3ZS,1,fake_itc,99.85,1,CRITICAL,6.05,0,41.1,0
16RHZWT9547S7ZB,1,fake_itc,99.85,1,CRITICAL,19.9,0,79.36,1
33UUMOQ7597R3Z6,1,fake_itc,99.85,1,CRITICAL,60.48,1,28.18,0
04RAUGI6595U1Z3,1,fake_itc,99.85,1,CRITICAL,9.35,0,42.260000000000005,0
16LKGPC4316C1Z6,1,fake_itc,99.85,1,CRITICAL,15.64,0,40.18,0
07MBLOX8096Q7ZX,1,fake_itc,99.85,1,CRITICAL,5.74,0,83.13,1
03SPDRV7870O3Z5,1,fake_itc,99.85,1,CRITICAL,48.61,1,43.86,0
05OEZWM3402H1Z7,1,fake_itc,99.85,1,CRITICAL,7.05,0,76.82,1
09FDRBD8413J3ZK,1,shell_company,99.85,1,CRITICAL,23.92,0,46.4,0
29WMSMX4854L5Z6,1,fake_itc,99.85,1,CRITICAL,21.42,0,37.93,0
14MDUMH0441U4ZI,1,fake_itc,99.85,1,CRITICAL,5.2,0,69.64,1
20QHRHU0915Q3ZY,1,fake_itc,99.85,1,CRITICAL,33.38,1,33.34,0
23XZNSD8218J6ZO,1,fake_itc,99.85,1,CRITICAL,20.05,0,36.86,0
29NSXMN5493J3ZB,1,shell_company,99.85,1,CRITICAL,26.06,0,42.93,0
11GFFDT2532Z2ZK,1,shell_company,99.85,1,CRITICAL,34.06,1,39.83,0
05IUCGB7600K4ZF,1,fake_itc,99.85,1,CRITICAL,19.04,0,46.07,0
11NRPNG8677Q6ZU,1,fake_itc,99.85,1,CRITICAL,5.35,0,24.02,0
22CVKOP9838J5ZT,1,fake_itc,99.85,1,CRITICAL,27.74,0,32.13,0
21AHCJA0221W9Z3,1,shell_company,99.85,1,CRITICAL,17.84,0,41.019999999999996,0
13BORHQ9370B4ZA,1,shell_company,99.84,1,CRITICAL,32.56,1,27.16,0
07VYLCY0174B1ZR,1,fake_itc,99.84,1,CRITICAL,53.8,1,28.8,0
22SNCQF4395E3ZA,1,fake_itc,99.84,1,CRITICAL,6.6,0,38.83,0
33JBTLF9965J4ZY,1,shell_company,99.84,1,CRITICAL,26.38,0,74.25,1
27INZHN6246F9ZY,1,fake_itc,99.84,1,CRITICAL,27.46,0,37.96,0
12QNULG2778B7ZA,1,shell_company,99.84,1,CRITICAL,46.78,1,36.64,0
16AYWFR1314N2ZC,1,fake_itc,99.84,1,CRITICAL,6.27,0,43.05,0
14WLIBD4866O7ZM,1,fake_itc,99.84,1,CRITICAL,15.89,0,34.980000000000004,0
01QKMTY0450J7ZN,1,fake_itc,99.84,1,CRITICAL,16.19,0,26.68,0
16NJNFN9516H7ZY,1,fake_itc,99.84,1,CRITICAL,16.07,0,24.8,0
07QLJNJ1255F8ZR,1,shell_company,99.84,1,CRITICAL,31.01,1,42.33,0
06IQAEA6489J4ZI,1,shell_company,99.84,1,CRITICAL,26.95,0,36.78,0
11BFFQA9269A4ZV,1,fake_itc,99.84,1,CRITICAL,9.14,0,66.66,1
21ECTOW8636W6ZG,1,fake_itc,99.84,1,CRITICAL,7.58,0,75.38,1
08UFZYJ2213Q1ZA,1,fake_itc,99.84,1,CRITICAL,7.68,0,28.54,0
21JUTWY8293N9ZE,1,fake_itc,99.84,1,CRITICAL,44.01,1,79.16,1
07KASKO2287R5ZU,1,fake_itc,99.84,1,CRITICAL,13.4,0,19.16,0
17XTNGV9951V1ZA,1,shell_company,99.84,1,CRITICAL,28.1,1,30.96,0
16SIEWP8272F8ZN,1,fake_itc,99.84,1,CRITICAL,13.86,0,39.3,0
19HTKVE8860Q8ZC,1,shell_company,99.84,1,CRITICAL,30.77,1,39.32,0
13EHZHR1034U4ZN,1,fake_itc,99.83,1,CRITICAL,9.27,0,37.16,0
19JTDLQ3282R4ZY,1,fake_itc,99.83,1,CRITICAL,11.87,0,75.1,1
01VYZMU4792I6ZB,1,fake_itc,99.83,1,CRITICAL,15.34,0,38.96,0
08NGQBB6620B1ZM,1,fake_itc,99.83,1,CRITICAL,15.81,0,28.11,0
37ERYMW5273I1ZH,1,fake_itc,99.83,1,CRITICAL,71.92,1,39.85,0
09JWMUS7323B4ZJ,1,shell_company,99.83,1,CRITICAL,23.62,0,39.56,0
32QOUYM3828G2ZS,1,fake_itc,99.83,1,CRITICAL,22.37,0,42.59,0
14GCHHT6825J8ZV,1,fake_itc,99.83,1,CRITICAL,9.56,0,22.19,0
13HNIKY9541D9ZQ,1,shell_company,99.83,1,CRITICAL,24.43,0,38.64,0
33QGPVU5563V7ZL,1,shell_company,99.83,1,CRITICAL,28.1,1,44.8,0
20LWLFE0627Q4ZY,1,shell_company,99.83,1,CRITICAL,29.11,1,73.86,1
16BIHRK1677I4ZR,1,fake_itc,99.83,1,CRITICAL,8.46,0,38.66,0
36UXZKU9200V1ZG,1,fake_itc,99.83,1,CRITICAL,11.23,0,37.56,0
08RZTZL1694W5ZG,1,fake_itc,99.83,1,CRITICAL,74.86,1,40.66,0
23SCMOR8575W7ZX,1,fake_itc,99.83,1,CRITICAL,12.63,0,22.16,0
20AORRZ3470Q7ZO,1,fake_itc,99.82,1,CRITICAL,28.98,1,78.13,1
16YJARR3561M7ZG,1,shell_company,99.82,1,CRITICAL,28.8,1,41.2,0
21BMLDK6719D3ZN,1,fake_itc,99.82,1,CRITICAL,57.66,1,81.99,1
27EWHNE6719M5ZZ,1,fake_itc,99.82,1,CRITICAL,28.59,1,25.76,0
36HWKVJ7854G1ZE,1,shell_company,99.82,1,CRITICAL,24.28,0,37.510000000000005,0
21NWTXC6279V3Z6,1,fake_itc,99.82,1,CRITICAL,3.46,0,38.29,0
16UVAEZ6084E2ZJ,1,fake_itc,99.82,1,CRITICAL,59.91,1,39.5,0
24XYVWP1566M8ZP,1,fake_itc,99.82,1,CRITICAL,8.87,0,82.38,1
06EJHDJ3385U7ZM,1,fake_itc,99.82,1,CRITICAL,21.5,0,42.230000000000004,0
07XNUTD5478Q1ZU,1,fake_itc,99.82,1,CRITICAL,10.84,0,67.56,1
29TOJNW9268V7Z9,1,fake_itc,99.82,1,CRITICAL,12.45,0,48.02,0
14FXOAI6242T5Z9,1,fake_itc,99.82,1,CRITICAL,25.17,0,45.35,0
20XGUWM1246G3Z8,1,fake_itc,99.82,1,CRITICAL,10.25,0,36.6,0
20CJXYB3299J3ZN,1,fake_itc,99.82,1,CRITICAL,46.65,1,78.94,1
18HPROJ1224E6Z2,1,fake_itc,99.82,1,CRITICAL,11.0,0,37.269999999999996,0
27FISHA6915J4Z1,1,fake_itc,99.82,1,CRITICAL,28.18,1,46.370000000000005,0
33WFXNN1165O3ZR,1,shell_company,99.81,1,CRITICAL,45.72,1,83.31,1
09FFQDR5591P8ZK,1,shell_company,99.81,1,CRITICAL,22.05,0,79.99,1
33TNQQH4548B8ZF,1,fake_itc,99.81,1,CRITICAL,19.84,0,32.81,0
16INCJT3617N4ZI,1,fake_itc,99.81,1,CRITICAL,70.57,1,40.15,0
19PVPDB4910F8ZH,1,shell_company,99.81,1,CRITICAL,36.82,1,43.41,0
17TIWAK8659A8Z6,1,shell_company,99.81,1,CRITICAL,42.72,1,39.04,0
18DDKTN9813U4ZB,1,fake_itc,99.81,1,CRITICAL,11.36,0,24.29,0
06IRKSN5749F2Z6,1,shell_company,99.81,1,CRITICAL,35.28,1,86.37,1
22GZVMP5686B2ZG,1,shell_company,99.81,1,CRITICAL,59.11,1,36.65,0
01FSHGD6944Y8ZX,1,fake_itc,99.81,1,CRITICAL,24.71,0,42.1,0
37BUNQN4705T3ZR,1,fake_itc,99.81,1,CRITICAL,8.89,0,40.260000000000005,0
06FWCGB0978K1ZE,1,fake_itc,99.81,1,CRITICAL,6.89,0,43.85,0
04SQHSQ5978P7ZP,1,shell_company,99.81,1,CRITICAL,34.39,1,86.16,1
08ATMZP3442V8ZH,1,fake_itc,99.81,1,CRITICAL,15.5,0,39.230000000000004,0
37RMXFB4119I9ZG,1,fake_itc,99.81,1,CRITICAL,6.01,0,80.54,1
09NLMOS5175D3ZH,1,shell_company,99.81,1,CRITICAL,31.51,1,41.89,0
32RMOJU3210Q3Z0,1,fake_itc,99.81,1,CRITICAL,24.39,0,45.510000000000005,0
37MLMJR3499B7ZS,1,shell_company,99.8,1,CRITICAL,29.56,1,37.67,0
37SHEVF3393R6ZQ,1,shell_company,99.8,1,CRITICAL,28.79,1,65.95,1
20UXNUS8911N9ZY,1,fake_itc,99.8,1,CRITICAL,7.36,0,41.69,0
09YVIDR6209C7ZJ,1,shell_company,99.8,1,CRITICAL,22.96,0,39.82,0
21WYBJU6249L8ZP,1,shell_company,99.8,1,CRITICAL,42.87,1,24.52,0
23DBJUX1814U9ZW,1,sudden_spike,99.8,1,CRITICAL,39.62,1,42.6,0
12JYADL3401L7ZU,1,fake_itc,99.8,1,CRITICAL,41.23,1,47.9,0
20VATQD8508B7ZK,1,fake_itc,99.8,1,CRITICAL,6.2,0,43.480000000000004,0
29YUIHJ1594T3ZV,1,fake_itc,99.8,1,CRITICAL,9.45,0,66.2,1
36FCOMK2625P8Z2,1,fake_itc,99.8,1,CRITICAL,70.22,1,27.55,0
24VNGLW0928W2ZS,1,fake_itc,99.8,1,CRITICAL,18.06,0,44.69,0
10XGMQV3120U2ZR,1,fake_itc,99.8,1,CRITICAL,18.01,0,23.93,0
02WYNIY2827U5ZL,1,shell_company,99.8,1,CRITICAL,22.17,0,75.39,1
13YHAQQ3950R6ZW,1,fake_itc,99.8,1,CRITICAL,16.89,0,81.51,1
03GQXDQ6441X4Z4,1,shell_company,99.8,1,CRITICAL,35.3,1,38.989999999999995,0
33SPFGY5461X4ZW,1,fake_itc,99.8,1,CRITICAL,9.93,0,47.29,0
23DTSLB1545F1ZJ,1,shell_company,99.8,1,CRITICAL,31.27,1,42.64,0
11ZCASL9208V3Z5,1,shell_company,99.8,1,CRITICAL,27.02,0,38.81,0
29BIIEQ6245K3ZC,1,fake_itc,99.8,1,CRITICAL,9.12,0,38.07,0
23QSOQN1837M1ZP,1,fake_itc,99.79,1,CRITICAL,6.69,0,77.13,1
37XRVBU1193Y7ZG,1,shell_company,99.79,1,CRITICAL,36.12,1,40.41,0
17NCNOW6884C9Z7,1,shell_company,99.79,1,CRITICAL,38.04,1,20.49,0
17FEDBP2846A3ZY,1,shell_company,99.79,1,CRITICAL,22.74,0,78.43,1
27BDPYD9635S9ZP,1,fake_itc,99.79,1,CRITICAL,25.23,0,23.57,0
20TIVGT2076N1ZG,1,fake_itc,99.79,1,CRITICAL,57.7,1,27.6,0
21AHPVM1943I6Z1,1,fake_itc,99.79,1,CRITICAL,14.34,0,63.01,1
13VGJHY7184Y1ZP,1,fake_itc,99.79,1,CRITICAL,14.76,0,25.11,0
16BDUQY2604V5ZN,1,fake_itc,99.79,1,CRITICAL,34.3,1,38.43,0
20QEWXM7709K4ZH,1,shell_company,99.78,1,CRITICAL,39.02,1,80.66,1
18OCFTS2981F4ZQ,1,shell_company,99.78,1,CRITICAL,31.62,1,34.010000000000005,0
07EMWJO1224R9ZB,1,shell_company,99.78,1,CRITICAL,27.4,0,23.23,0
21NEPED7387I7ZF,1,fake_itc,99.78,1,CRITICAL,7.51,0,71.11,1
16MNRLN0061B9ZO,1,missing_returns,99.78,1,CRITICAL,56.27,1,46.47,0
10YQGDN9928Y7ZM,1,fake_itc,99.78,1,CRITICAL,24.84,0,20.05,0
19QWHYO7212B9ZY,1,shell_company,99.78,1,CRITICAL,44.37,1,39.15,0
12RVZVY2486K5ZH,1,fake_itc,99.78,1,CRITICAL,6.47,0,41.57,0
29OOTYJ3354U5ZG,1,fake_itc,99.78,1,CRITICAL,17.61,0,28.66,0
17OOJAD3327M1ZV,1,fake_itc,99.78,1,CRITICAL,71.02,1,38.2,0
23PVIER8572Y1ZG,1,fake_itc,99.78,1,CRITICAL,11.14,0,44.44,0
17YNBZY6716Y4ZF,1,shell_company,99.78,1,CRITICAL,24.94,0,23.63,0
02YSJVH0948Y6Z1,1,fake_itc,99.78,1,CRITICAL,11.73,0,26.48,0
32OWCOA3803X8Z7,1,fake_itc,99.78,1,CRITICAL,7.84,0,43.230000000000004,0
37LHIWS7903B1Z7,1,fake_itc,99.77,1,CRITICAL,6.89,0,83.51,1
08BNDHG7085E5ZP,1,fake_itc,99.77,1,CRITICAL,12.19,0,79.91,1
07LPARQ0496N9Z5,1,fake_itc,99.77,1,CRITICAL,16.21,0,44.379999999999995,0
19RDDAK6530W8Z3,1,fake_itc,99.77,1,CRITICAL,62.42,1,24.99,0
07MYGTG3364Y7ZN,1,fake_itc,99.77,1,CRITICAL,17.47,0,37.260000000000005,0
29EMLNI3246A7ZC,1,fake_itc,99.77,1,CRITICAL,23.18,0,41.230000000000004,0
01FRUHA5521B6ZP,1,shell_company,99.77,1,CRITICAL,32.16,1,36.86,0
19OURCN5455H6ZK,1,fake_itc,99.77,1,CRITICAL,23.88,0,40.08,0
21EDNNL3879C9Z7,1,fake_itc,99.77,1,CRITICAL,15.36,0,66.85,1
03BWJAJ4236R1ZT,1,fake_itc,99.77,1,CRITICAL,32.8,1,24.33,0
18HRXRR9143V4ZS,1,fake_itc,99.77,1,CRITICAL,42.3,1,40.93,0
03FYBEU7904V7Z5,1,fake_itc,99.77,1,CRITICAL,40.24,1,26.69,0
32VTWSJ9250E3Z2,1,fake_itc,99.77,1,CRITICAL,11.98,0,24.66,0
13DSUWM5339R9ZO,1,fake_itc,99.76,1,CRITICAL,22.2,0,23.32,0
29ETCSQ0779T3ZY,1,shell_company,99.76,1,CRITICAL,45.86,1,28.05,0
04KFHTP1608L8ZU,1,shell_company,99.76,1,CRITICAL,29.77,1,45.69,0
02VQUIM3470W2ZH,1,fake_itc,99.76,1,CRITICAL,18.92,0,42.45,0
18CMFZI4906W7Z1,1,fake_itc,99.76,1,CRITICAL,55.01,1,37.989999999999995,0
37JSSTM8138D4Z2,1,shell_company,99.76,1,CRITICAL,33.9,1,24.06,0
33ATKGE1208O7Z7,1,fake_itc,99.76,1,CRITICAL,21.92,0,45.269999999999996,0
